state,Total_0-5,Male_0-5,Female_0-5,Total_5-9,Male_5-9,Female_5-9,Total_10-14,Male_10-14,Female_10-14,Total_15-19,Male_15-19,Female_15-19,Total_20-24,Male_20-24,Female_20-24,Total_25-29,Male_25-29,Female_25-29,Total_30-34,Male_30-34,Female_30-34,Total_35-39,Male_35-39,Female_35-39,Total_40-44,Male_40-44,Female_40-44,Total_45-49,Male_45-49,Female_45-49,Total_50-54,Male_50-54,Female_50-54,Total_55-59,Male_55-59,Female_55-59,Total_60-64,Male_60-64,Female_60-64,Total_65-69,Male_65-69,Female_65-69,Total_70-74,Male_70-74,Female_70-74,Total_75-79,Male_75-79,Female_75-79,Total_80-84,Male_80-84,Female_80-84,Total_85+,Male_85+,Female_85+
Georgia,621750,317176,304574,688835,351495,337340,746320,383224,363096,779849,401967,377882,744354,379919,364435,735418,367559,367859,781199,382001,399198,739394,360989,378405,747522,354385,393137,683951,330763,353188,722758,353385,369373,667422,322848,344574,671205,323404,347801,564304,265836,298468,466760,207419,259341,335485,145934,189551,186379,79515,106864,146322,50685,95637
Hawaii,77420,39303,38117,80863,40953,39910,88182,46447,41735,78043,40201,37842,85733,48769,36964,86607,44221,42386,99146,51304,47842,94217,47299,46918,98299,50640,47659,82134,41004,41130,85390,42672,42718,84903,41319,43584,90849,45862,44987,87734,42378,45356,78472,37436,41036,62326,28904,33422,38869,17730,21139,35951,12698,23253
Idaho,110908,57550,53358,127279,65695,61584,139235,70890,68345,148318,75257,73061,133282,68011,65271,123741,63860,59881,130577,67224,63353,126765,64658,62107,132044,65847,66197,115448,59295,56153,109445,56169,53276,104600,51495,53105,120825,59439,61386,110277,53590,56687,97418,47687,49731,62572,30248,32324,41878,19302,22576,30114,12240,17874
Illinois,661026,333778,327248,753268,388433,364835,779833,399053,380780,827493,422910,404583,817073,414059,403014,822654,414609,408045,859570,433403,426167,832327,416625,415702,846077,427890,418187,764366,381100,383266,790442,397062,393380,763751,378946,384805,825979,401985,423994,717382,341391,375991,578222,270011,308211,394724,176580,218144,268934,112227,156707,246568,87596,158972
Indiana,401558,207995,193563,439600,230566,209034,446554,229253,217301,485931,250243,235688,473586,244229,229357,437183,220868,216315,455677,228980,226697,439138,218925,220213,439641,223188,216453,396479,201897,194582,422024,210364,211660,407227,201053,206174,436033,213918,222115,391056,184850,206206,313265,147527,165738,215955,97544,118411,142005,60381,81624,119287,40384,78903
Iowa,182063,93117,88946,200296,100862,99434,210274,107323,102951,225470,116437,109033,222476,116493,105983,197296,100039,97257,201330,104038,97292,198873,98453,100420,211540,108437,103103,181433,93009,88424,182933,93216,89717,182323,92003,90320,215809,104900,110909,185799,90313,95486,159424,79060,80364,105554,47614,57940,73086,31819,41267,71025,25180,45845
Kansas,169830,84789,85041,182863,97108,85755,206744,104830,101914,210613,108973,101640,214245,117583,96662,189943,97502,92441,187885,94213,93672,190222,95791,94431,197579,101346,96233,161993,81969,80024,163667,84185,79482,157918,79601,78317,188680,90045,98635,165477,82097,83380,141513,66073,75440,94937,44998,49939,60109,24472,35637,56329,20926,35403
Kentucky,264633,137718,126915,278400,143254,135146,288926,147739,141187,286721,146331,140390,300199,155865,144334,291097,151239,139858,304571,153085,151486,291450,146941,144509,278309,139962,138347,271388,135537,135851,284520,142248,142272,282757,138311,144446,298415,142922,155493,261189,121058,140131,223389,106744,116645,154249,67854,86395,94893,42632,52261,71048,24250,46798
Louisiana,275636,142803,132833,296496,151287,145209,303219,156976,146243,302119,153725,148394,293386,146850,146536,280701,140452,140249,308764,149595,159169,303626,152178,151448,318907,156066,162841,260323,128307,132016,268843,132753,136090,266286,122295,143991,300852,148967,151885,261779,121394,140385,222084,103774,118310,150817,64264,86553,87199,38447,48752,72712,26007,46705
Maine,59898,30229,29669,66379,33734,32645,72592,38332,34260,79986,40800,39186,77407,40863,36544,79804,39829,39975,88461,43174,45287,85520,42748,42772,90237,44288,45949,76935,38100,38835,91167,45115,46052,95023,45403,49620,112193,54634,57559,103911,49812,54099,85896,40772,45124,60760,28433,32327,39057,16332,22725,30496,12528,17968
Maryland,346836,174706,172130,375815,192840,182975,390863,199231,191632,401595,202779,198816,367705,185926,181779,370945,183553,187392,421207,208739,212468,429897,209411,220486,420579,206466,214113,375125,186230,188895,393086,190181,202905,405301,196832,208469,414661,195027,219634,340924,158764,182160,285152,127703,157449,206040,91503,114537,125217,50228,74989,109305,39985,69320
Massachusetts,342145,175110,167035,363038,188029,175009,384162,194750,189412,457558,231407,226151,479344,237015,242329,472523,237172,235351,493923,247786,246137,480321,237803,242518,447066,225104,221962,404523,198726,205797,440630,215510,225120,454158,222388,231770,489124,236057,253067,413455,198821,214634,339624,153282,186342,246788,108497,138291,152434,64128,88306,140583,49601,90982
Michigan,529459,268093,261366,581280,298488,282792,611729,313054,298675,647022,331860,315162,659915,333941,325974,633703,324985,308718,680649,346366,334283,617475,308290,309185,611978,306223,305755,567058,281746,285312,627278,312435,314843,640195,319486,320709,697295,338291,359004,637646,304325,333321,522354,247461,274893,350815,164775,186040,226160,93732,132428,195250,71966,123284
